"","Chisq","Df","Pr..Chisq.","contrast","estimate","SE","df","z.ratio","p.value","prop","runid"
"group:remaining_time_reversed",36.0485356274832,1,1.924633694975e-09,"group1 - group2",-0.000376082524366512,6.51594652781479e-05,Inf,-5.77172514785256,7.84640277977293e-09,0.6,1
"group:remaining_time_reversed1",59.9251569034129,1,9.853391659089e-15,"group1 - group2",-0.00050581660093907,6.68348035488278e-05,Inf,-7.56816170738848,3.78542602506187e-14,0.6,2
"group:remaining_time_reversed2",72.9404570003509,1,1.33620843903898e-17,"group1 - group2",-0.000509982897791561,6.07068905780649e-05,Inf,-8.40074154573537,4.4366792493772e-17,0.7,1
"group:remaining_time_reversed3",27.9699205244379,1,1.23215940320322e-07,"group1 - group2",-0.000345371975558866,6.15667269896427e-05,Inf,-5.60971798317243,2.02656588557947e-08,0.7,2
"group:remaining_time_reversed4",14.4443804965222,1,0.000144359936229741,"group1 - group2",-0.000223303085687807,5.63953332667896e-05,Inf,-3.9596022002641,7.50747117193314e-05,0.8,1
"group:remaining_time_reversed5",45.9460395624181,1,1.2155541657342e-11,"group1 - group2",-0.000383256820131754,5.64035199557004e-05,Inf,-6.79490961615101,1.08380454822396e-11,0.8,2
"group:remaining_time_reversed6",41.7837490559836,1,1.01947246131442e-10,"group1 - group2",-0.000354303570564341,5.36098241225017e-05,Inf,-6.60892991841824,3.8710790828149e-11,0.9,1
"group:remaining_time_reversed7",43.3274487122864,1,4.63042168159421e-11,"group1 - group2",-0.000365134152108211,5.3858812454754e-05,Inf,-6.77946905002695,1.20618332822156e-11,0.9,2
