"","Chisq","Df","Pr..Chisq.","contrast","estimate","SE","df","z.ratio","p.value","prop","runid"
"group:remaining_time_reversed153",38.0164720316742,1,7.01498787478327e-10,"group1 - group2",-0.000336079507032938,5.35099983025203e-05,Inf,-6.28068618378387,3.37081934236055e-10,0.9,4
"group:remaining_time_reversed154",49.6595108535215,1,1.82881385074433e-12,"group1 - group2",-0.00036951605722654,5.20736139593027e-05,Inf,-7.09603250343503,1.28389294440606e-12,0.9,5
"group:remaining_time_reversed155",53.8540568176066,1,2.1594874432747e-13,"group1 - group2",-0.000383538817741166,5.24371824449046e-05,Inf,-7.31425297581821,2.58817149701203e-13,0.9,6
"group:remaining_time_reversed156",59.7696789686338,1,1.0663359051656e-14,"group1 - group2",-0.000403924202507591,5.25743287206522e-05,Inf,-7.68291697367734,1.5550637973272e-14,0.9,7
"group:remaining_time_reversed157",39.1390087366398,1,3.94678915723402e-10,"group1 - group2",-0.000329237493862593,5.29681868000336e-05,Inf,-6.21575918967239,5.1077085674718e-10,0.9,8
"group:remaining_time_reversed158",28.6562010122768,1,8.64367587839493e-08,"group1 - group2",-0.000289842593469776,5.262650842599e-05,Inf,-5.50753987180032,3.63883011026758e-08,0.9,9
"group:remaining_time_reversed159",47.7001591599276,1,4.9665130704583e-12,"group1 - group2",-0.00036804804723576,5.30419770886231e-05,Inf,-6.93880710028628,3.95424623095269e-12,0.9,10
"group:remaining_time_reversed160",40.6356672585794,1,1.8342775133159e-10,"group1 - group2",-0.00034837012792188,5.32533566548635e-05,Inf,-6.54174966246121,6.08032227246806e-11,0.9,11
"group:remaining_time_reversed161",21.966679276954,1,2.77425336245049e-06,"group1 - group2",-0.000251634715748815,5.23202889254903e-05,Inf,-4.80950546942067,1.51304156294956e-06,0.9,12
"group:remaining_time_reversed162",61.7629681180152,1,3.87391793598598e-15,"group1 - group2",-0.000425207200329145,5.16278125929306e-05,Inf,-8.23601037839377,1.78048496581559e-16,0.9,13
"group:remaining_time_reversed163",41.1917248419805,1,1.38005573743162e-10,"group1 - group2",-0.000339773997567906,5.31331676741565e-05,Inf,-6.39476267727153,1.60796901458174e-10,0.9,14
"group:remaining_time_reversed164",64.6851433888654,1,8.78749344106395e-16,"group1 - group2",-0.000440452252488146,5.25536829537739e-05,Inf,-8.38099687277039,5.24812949321824e-17,0.9,15
"group:remaining_time_reversed165",54.4909242106007,1,1.56167399513559e-13,"group1 - group2",-0.000400592101611667,5.16686779292744e-05,Inf,-7.75309370524264,8.96803905259586e-15,0.9,16
"group:remaining_time_reversed166",38.801942291725,1,4.69060895607231e-10,"group1 - group2",-0.000343673015401071,5.34838393945088e-05,Inf,-6.42573568561639,1.31233260397238e-10,0.9,17
"group:remaining_time_reversed167",48.3989001404081,1,3.47763188093952e-12,"group1 - group2",-0.00037759476878274,5.38075497925788e-05,Inf,-7.01750535451474,2.25864506902549e-12,0.9,18
"group:remaining_time_reversed168",40.3863751279496,1,2.08389273098507e-10,"group1 - group2",-0.000374858234014788,5.35908559832809e-05,Inf,-6.99481706602587,2.65605260978162e-12,0.9,19
"group:remaining_time_reversed169",58.4125215003679,1,2.12534009711985e-14,"group1 - group2",-0.000399003488948939,5.33049223884793e-05,Inf,-7.48530287767899,7.13823232495362e-14,0.9,20
"group:remaining_time_reversed170",50.3149744352459,1,1.30946513914356e-12,"group1 - group2",-0.000377918392990388,5.33672983610892e-05,Inf,-7.08146008129078,1.42643460958465e-12,0.9,21
"group:remaining_time_reversed171",48.8040186553848,1,2.82859649220253e-12,"group1 - group2",-0.000370467682873687,5.2421602146231e-05,Inf,-7.06708051082188,1.58227161812954e-12,0.9,22
"group:remaining_time_reversed172",20.6662002404886,1,5.46726305600327e-06,"group1 - group2",-0.000239791952619275,5.23831931367448e-05,Inf,-4.57765054515301,4.70227366113969e-06,0.9,23
"group:remaining_time_reversed173",32.9717106446043,1,9.35096551138843e-09,"group1 - group2",-0.000324239680349365,5.29600368908676e-05,Inf,-6.12234619506613,9.22074083904289e-10,0.9,24
"group:remaining_time_reversed174",30.3101678643246,1,3.68190742713044e-08,"group1 - group2",-0.000301978454738712,5.30030769718588e-05,Inf,-5.69737592591169,1.21665462476896e-08,0.9,25
"group:remaining_time_reversed175",57.0039634498433,1,4.34934466663751e-14,"group1 - group2",-0.000413726108058181,5.32637492838369e-05,Inf,-7.76749878896954,8.00511043399447e-15,0.9,26
"group:remaining_time_reversed176",21.9413839837482,1,2.81106104044224e-06,"group1 - group2",-0.000240311597873434,5.28669890580223e-05,Inf,-4.54558888552721,5.47818722916428e-06,0.9,27
"group:remaining_time_reversed177",40.4205773329003,1,2.04773035310448e-10,"group1 - group2",-0.000344712388727503,5.27592077356611e-05,Inf,-6.53369153029386,6.41680408304388e-11,0.9,28
"group:remaining_time_reversed178",27.3597290916189,1,1.68912459496514e-07,"group1 - group2",-0.000290793814817578,5.32579515784163e-05,Inf,-5.46010137827808,4.75862777847035e-08,0.9,29
"group:remaining_time_reversed179",41.6905856168573,1,1.0692260685766e-10,"group1 - group2",-0.000346048664124371,5.21063942559839e-05,Inf,-6.64119383168853,3.11152527099485e-11,0.9,30
"group:remaining_time_reversed180",60.4803509072493,1,7.43166166426589e-15,"group1 - group2",-0.000421552477375712,5.26565834858578e-05,Inf,-8.0056936753014,1.1879510372357e-15,0.9,31
"group:remaining_time_reversed181",51.3248772535119,1,7.8277362899358e-13,"group1 - group2",-0.000397577388617181,5.34322550710114e-05,Inf,-7.44077501667862,1.00096296478398e-13,0.9,32
"group:remaining_time_reversed182",40.2895337047531,1,2.18978966678931e-10,"group1 - group2",-0.000350022301843572,5.28977327035335e-05,Inf,-6.61696227710326,3.66655009534755e-11,0.9,33
"group:remaining_time_reversed183",36.3894595825071,1,1.61574652038377e-09,"group1 - group2",-0.00032981339763828,5.33836863238421e-05,Inf,-6.17816828230125,6.48495721855034e-10,0.9,34
"group:remaining_time_reversed184",39.2872151335066,1,3.6582884251494e-10,"group1 - group2",-0.000353942765905308,5.29334733510363e-05,Inf,-6.68655849500152,2.28479845986197e-11,0.9,35
"group:remaining_time_reversed185",53.6982140437649,1,2.33775674743505e-13,"group1 - group2",-0.000404888231725408,5.20435453141588e-05,Inf,-7.77979726940807,7.26408613237084e-15,0.9,36
"group:remaining_time_reversed186",62.1080522999806,1,3.25119265801386e-15,"group1 - group2",-0.000427773439733138,5.30973630187201e-05,Inf,-8.05639706782277,7.85761031309486e-16,0.9,37
"group:remaining_time_reversed187",51.1459872360372,1,8.57457840071993e-13,"group1 - group2",-0.00037441894809065,5.29693463248494e-05,Inf,-7.06859672751898,1.56508241784378e-12,0.9,38
"group:remaining_time_reversed188",61.3210423501308,1,4.84870435748565e-15,"group1 - group2",-0.000433529617089512,5.29612868405783e-05,Inf,-8.18578329477725,2.70538171482945e-16,0.9,39
"group:remaining_time_reversed189",50.4265529973395,1,1.23709026598373e-12,"group1 - group2",-0.000383571772729868,5.29073411779799e-05,Inf,-7.24987807343287,4.17146974906076e-13,0.9,40
"group:remaining_time_reversed190",43.5288507972597,1,4.17754736293657e-11,"group1 - group2",-0.000377962864253484,5.33627051540397e-05,Inf,-7.0829029968109,1.41165494701422e-12,0.9,41
"group:remaining_time_reversed191",48.2687784326277,1,3.71622295374214e-12,"group1 - group2",-0.00036759507939971,5.27017274603127e-05,Inf,-6.97501006350368,3.05848922065782e-12,0.9,42
"group:remaining_time_reversed192",61.8184325559588,1,3.76632161869324e-15,"group1 - group2",-0.000435962933267108,5.2616047005012e-05,Inf,-8.28574091142917,1.1737605567497e-16,0.9,43
"group:remaining_time_reversed193",45.5994995865694,1,1.45078639839338e-11,"group1 - group2",-0.00036446191747871,5.31436897523775e-05,Inf,-6.85804691350782,6.98083368129756e-12,0.9,44
"group:remaining_time_reversed194",27.8533359651206,1,1.3086823315051e-07,"group1 - group2",-0.000291255409589681,5.30777136472121e-05,Inf,-5.48733902755398,4.08033554939818e-08,0.9,45
"group:remaining_time_reversed195",38.3560889916068,1,5.89438856560339e-10,"group1 - group2",-0.000337967041388908,5.35155729183425e-05,Inf,-6.31530268590415,2.69633209102399e-10,0.9,46
"group:remaining_time_reversed196",59.1305681409063,1,1.47549240969372e-14,"group1 - group2",-0.000417656664286571,5.26328540021497e-05,Inf,-7.93528438092133,2.10013551090035e-15,0.9,47
"group:remaining_time_reversed197",46.4563927847505,1,9.36802244237852e-12,"group1 - group2",-0.000372814620009294,5.24086039109798e-05,Inf,-7.11361479200151,1.13042380178585e-12,0.9,48
"group:remaining_time_reversed198",41.4823819896717,1,1.18937997495324e-10,"group1 - group2",-0.000361281300127163,5.3479686255322e-05,Inf,-6.75548653001325,1.42356733937197e-11,0.9,49
"group:remaining_time_reversed199",69.6746423484894,1,6.99394827025675e-17,"group1 - group2",-0.000449218176185978,5.30869935903709e-05,Inf,-8.46192533810125,2.6299888504922e-17,0.9,50
